City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Tripoli,LY,2021-09-30 23:11:02,32.8752,13.1875,76.68,65,1,7.0
167,Conde,BR,2021-09-30 23:11:03,-7.2597,-34.9075,76.46,94,20,5.75
168,Saint-Pierre,RE,2021-09-30 23:10:33,-21.3393,55.4781,71.24,74,20,4.61
169,Narsaq,GL,2021-09-30 23:08:36,60.9167,-46.05,32.22,46,0,4.05
170,Lircay,PE,2021-09-30 23:11:03,-12.9896,-74.7205,63.14,58,84,6.35
171,Bad Salzdetfurth,DE,2021-09-30 23:11:04,52.0578,10.0058,53.06,79,95,11.41
172,Raudeberg,NO,2021-09-30 23:11:04,61.9875,5.1352,55.2,79,79,1.99
173,Kavaratti,IN,2021-09-30 23:11:05,10.5669,72.642,81.46,79,99,12.88
174,Saint Anthony,US,2021-09-30 23:11:05,45.0205,-93.218,82.26,68,1,5.75
175,San Julian,MX,2021-09-30 23:11:06,21.0167,-102.1667,71.37,61,84,3.27
176,Sheboygan,US,2021-09-30 23:11:06,43.7333,-87.9334,73.36,75,1,4.61
177,Birjand,IR,2021-09-30 23:11:07,32.8663,59.2211,64.87,22,0,6.91
178,Sinjar,IQ,2021-09-30 23:11:07,36.3209,41.8754,74.35,39,0,8.37
179,Dese,ET,2021-09-30 23:11:08,11.1333,39.6333,56.21,65,46,1.05
180,Komsomolskiy,UZ,2021-09-30 23:09:18,40.4272,71.7189,58.42,42,83,6.44
181,Gambela,ET,2021-09-30 23:11:08,8.25,34.5833,69.44,94,79,4.7
182,Krutikha,RU,2021-09-30 23:11:09,53.9599,81.2093,39.31,86,100,6.82
183,Elat,IL,2021-09-30 23:11:09,29.5581,34.9482,78.64,73,0,16.11
184,Abeche,TD,2021-09-30 23:11:09,13.8292,20.8324,81.88,25,2,5.46
185,Sovetskiy,RU,2021-09-30 23:11:10,61.3614,63.5842,32.02,91,62,8.19
186,Gbadolite,CD,2021-09-30 23:11:10,4.2833,21.0167,70.61,98,100,1.57
187,Samana,DO,2021-09-30 23:11:11,19.2056,-69.3369,76.96,83,23,5.91
188,Izhmorskiy,RU,2021-09-30 23:11:11,56.194,86.6414,36.39,98,100,6.22
189,Mount Pleasant,US,2021-09-30 23:11:02,32.7941,-79.8626,81.18,80,1,1.99
190,Talas,TR,2021-09-30 23:11:11,38.6908,35.5538,47.07,66,20,4.61
191,Moose Factory,CA,2021-09-30 23:11:12,51.2585,-80.6094,47.62,92,41,4.81
192,Hearst,CA,2021-09-30 23:11:12,49.6835,-83.6665,52.72,73,70,4.47
193,Novyy Urengoy,RU,2021-09-30 23:11:13,66.0833,76.6333,31.96,93,100,17.81
194,Dingle,PH,2021-09-30 23:06:57,10.9995,122.6711,78.55,86,81,1.74
195,Hofn,IS,2021-09-30 23:11:13,64.2539,-15.2082,45.93,72,100,22.1
196,Marawi,PH,2021-09-30 23:11:13,7.9986,124.2928,67.64,88,79,1.19
